title,score,genres,consensus
Get Out,99,Comedy|Horror|Mystery & Suspense,"Funny, scary, and thought-provoking,  seamlessly weaves its trenchant social critiques into a brilliantly effective and entertaining horror/comedy thrill ride."
Columbus,97,,"Wonderfully acted and artfully composed,  balances the clean lines of architecture against the messiness of love, with tenderly moving results."
In This Corner of the World (Kono sekai no katasumi ni),98,,"offers a unique ground-level perspective on an oft-dramatized period in history, further distinguished by beautiful hand-drawn animation."
The Shape of Water,97,Drama|Science Fiction & Fantasy|Romance,finds Guillermo del Toro at his visually distinctive best -- and matched by an emotionally absorbing story brought to life by a stellar Sally Hawkins performance.
BPM (Beats Per Minute) (120 battements par minute),98,,"Moving without resorting to melodrama,  offers an engrossing look at a pivotal period in history that lingers long after the closing credits roll."
A Ghost Story,90,Drama,"deftly manages its ambitious themes through an inventive, artful, and ultimately poignant exploration of love and loss."
"Three Billboards Outside Ebbing, Missouri",98,Drama,deftly balances black comedy against searing drama -- and draws unforgettable performances from its veteran cast along the way.
Thor: Ragnarok,96,,"Exciting, funny, and above all fun,  is a colorful cosmic adventure that sets a new standard for its franchise -- and the rest of the Marvel Cinematic Universe."
Graduation (Bacalaureat),95,Art House & International|Drama,marks yet another well-written and powerfully acted look at morality and societal decay from writer-director Cristian Mungiu.
The Red Turtle (La tortue rouge),94,Animation|Art House & International,adds to Studio Ghibli's estimable legacy with a beautifully animated effort whose deceptively simple story boasts narrative layers as richly absorbing as its lovely visuals.
After the Storm (Umi yori mo mada fukaku),96,Art House & International|Drama,"crosses cultural lines to offer timeless observations about parental responsibilities, personal bonds, and the capacity for forgiveness."
"I, Daniel Blake",92,Art House & International|Drama,marks yet another well-told chapter in director Ken Loach's powerfully populist filmography.
The Meyerowitz Stories (New and Selected),93,,observes the family dynamic through writer-director Noah Baumbach's bittersweet lens and the impressive efforts of a remarkable cast.
The Beguiled,78,Drama,"adds just enough extra depth to its source material to set itself apart, and director Sofia Coppola's restrained touch is enlivened by strong performances from the cast."
Your Name. (Kimi No Na Wa.),97,Animation|Drama|Romance,"As beautifully animated as it is emotionally satisfying,  adds another outstanding chapter to writer-director Makoto Shinkai's filmography."
Kong: Skull Island,76,Action & Adventure|Mystery & Suspense|Science Fiction & Fantasy,"Offering exhilarating eye candy, solid acting, and a fast-paced story,  earns its spot in the movie monster's mythos without ever matching up to the classic original."
Menashe,96,Drama,offers an intriguing look at a culture whose unfamiliarity to many viewers will be rendered irrelevant by the story's universally affecting themes and thoughtful approach.
